S,T,B,Ln_x,Ln_y,H_x,H_y,B_x,B_y,rbt_x,rbb_x,rbt_y,rbb_y,fy_B,fc,F0.01,F0.02,F0.03,F0.04,F0.05,F0.06,F0.07,F0.08,F0.09,F0.10,F0.11,F0.12,F0.13,F0.14,F0.15
1,1,2,2.22,2.22,180,180,100,100,1.463474839,0.975649892,1.463474839,0.975649892,507,32,18.49323526,29.34126179,36.41839096,41.86037839,46.21956976,49.80804661,52.9141514,55.65635159,58.07632021,60.27899666,62.38061116,64.38117764,66.28901756,68.11168089,69.45842639
2,0,2,2.65,2.65,350,350,350,350,0.743640979,0.743640979,0.743640979,0.743640979,500,40,237.1199721,342.2357669,383.9677147,404.095787,414.9048759,421.080398,424.7098077,426.7704519,427.8747089,428.1799121,428.049905,427.6337009,427.0998849,426.4937395,425.8205536
2,0,2,1.55,1.55,250,250,150,150,1.24,0.82,1.24,0.82,494,38.2,33.19673883,89.36814141,133.9061256,158.6447195,170.3157434,174.7784768,174.8211995,172.098991,170.1800819,169.0829938,168.575179,168.4761948,168.8482556,169.5198231,170.2903892
2,0,2,2.22,2.22,180,180,100,100,1.52,1.01,1.52,1.01,554,45,18.82498415,34.29281663,42.2881064,46.39721262,48.79016323,50.27326853,51.37055274,52.26630784,53.05500745,53.81524267,54.624905,55.3833396,55.34053004,54.27382306,53.70407191
2,0,1,5.4,5.4,600,600,300,300,0.91,0.76,0.91,0.76,456,28,410.4208841,578.2118463,638.1641979,659.6852728,663.828798,658.8611882,650.0873958,640.1959536,629.5978173,618.4345114,607.274487,597.2721991,589.0270482,583.2405494,580.2924095
2,0,2,2.65,2.65,350,350,350,350,0.743640979,0.743640979,0.743640979,0.743640979,350,30,213.1020254,278.527606,303.6257621,315.5769614,322.1247931,325.8852926,328.3985193,329.9716293,330.8388421,331.3946581,331.4907152,331.2851431,328.7774412,324.0430694,319.8340871
2,0,3,10.82,10.82,508,508,457,457,2.023946008,0.288564182,2.023946008,0.288564182,416.7,34.5,87.88685127,151.6748132,188.2145862,207.3083413,218.1577715,221.0777034,222.8251163,224.0274165,226.3723652,232.9744266,243.7669918,256.6236271,270.8660811,286.2351628,302.5055466
2,0,2,2.2,2.2,180,180,180,180,1.009209178,0.605102359,1.009209178,0.605102359,500,18.5,25.11530568,40.35886174,48.72626243,52.92946671,54.51619747,54.49987604,51.05574275,48.226203,46.36607305,45.44320692,45.36386585,46.00253038,47.33485994,49.1577215,51.19024046
2,0,2,2.75,2.75,250,250,150,150,0.9,0.49,0.9,0.49,511,31.2,39.95574428,58.00918789,67.41445495,69.55707827,67.07037528,64.74808478,63.46066911,63.38717648,64.22559252,65.93733471,67.23226266,65.57795731,64.66536458,64.40076679,64.82238876
2,0,2,2.65,2.65,350,350,350,350,0.743640979,0.743640979,0.743640979,0.743640979,600,25,240.9761008,355.5922844,409.6205967,437.0969578,452.5525217,462.0279383,467.5236516,470.4232072,472.0013626,472.6574628,472.686845,472.5360969,469.0128145,462.1631879,456.0757517
0,0,2,2.175,2.175,180,180,100,100,0.87,0.87,0.87,0.87,575,32,10.07153663,16.45168963,19.05161125,19.62763437,19.37698533,18.80672607,18.07444269,17.33886278,16.65175164,16.02463752,15.45859919,14.93249636,14.47835106,14.08641258,13.75463031
2,0,2,2.75,2.75,250,250,150,150,0.717258597,0.478172398,0.717258597,0.478172398,510,21.172,19.28938948,30.51318946,39.90875951,46.51119986,50.61946691,52.90400078,54.14383589,54.78521323,55.05055008,54.59188946,54.22152753,54.0808089,54.38573858,54.11165285,54.25028708
