S,T,B,Ln_x,Ln_y,H_x,H_y,B_x,B_y,rbt_x,rbb_x,rbt_y,rbb_y,fy_B,fc,Fcca
1,0,3,3.6,3.6,420,420,200,200,0.795759617,0.530506411,0.795759617,0.530506411,493,19.434,189.6662429
2,0,2,2.65,2.65,350,350,350,350,0.743640979,0.743640979,0.743640979,0.743640979,300,25,315.7997079
2,0,2,2.467,2.467,270,270,100,100,0.85,0.85,0.85,0.85,416,19.75,73.86666667
1,0,1,1.8,1.3,200,150,100,100,0.897597901,0.897597901,1.256637061,1.256637061,360,14.694,55.51152891
2,1,2,1.3,1.9,140,180,80,100,0.565486678,0.565486678,0.342719199,0.342719199,437,21.4,70
2,0,2,1.5,1.5,140,140,200,200,0.62,0.41,0.62,0.41,530,26,56.05702613
2,0,3,5.385,5.385,700,700,700,700,0.67,0.43,0.67,0.43,476,32.4,1194.818621
1,1,3,1.8,1.8,200,200,100,100,1.220166188,1.220166188,1.220166188,1.220166188,465,27,76.85
2,0,2,4.15,4.15,350,350,350,350,0.743640979,0.743640979,0.743640979,0.743640979,526,37.3,322.2748999
0,1,1,1.3,1.9,140,180,80,100,1.570796327,1.570796327,0.951997774,0.951997774,437,21.4,50.33
0,0,2,2.22,2.22,180,180,100,100,1.463474839,0.975649892,1.463474839,0.975649892,507,32,13.46514
1,1,3,1.6,1.6,200,200,100,100,0.558505361,0.558505361,0.558505361,0.558505361,491.6,31.837,62.15
